Trddt,600000,600010,600015,600016,600018,600028,600030,600036,600048,600050,600104,600109,600111,600150,600518,600519,600585,600637,600795,600837,600887,600893,600999,601006,601088,601166,601169,601186,601288,601318,601328,601336,601390,601398,601601,601628,601668,601669,601688,601766,601800,601818,601857,601901,601988,601989,601998
2014-01-02,8.307,2.36,6.371,6.183,5.0310000000000015,4.117,12.288,9.719,5.1560000000000015,3.1460000000000004,12.222,8.448,14.549,23.916,9.02,99.567,15.709,36.947,2.141,10.932,11.452,19.132,11.944,6.747999999999998,15.629,9.245,4.939,4.49,2.195,20.049,3.4360000000000004,22.34,2.6,3.181,17.421,14.482,2.928,2.893,8.534,4.869,3.781,2.383,7.245,5.91,2.333,5.617000000000001,3.634
2014-01-03,8.138,2.594,6.187,6.0870000000000015,4.9060000000000015,4.043,11.937,9.52,5.112,3.088,11.869000000000002,8.379,14.982,23.416,8.908,97.986,14.994000000000002,36.966,2.105,10.503,11.477,18.615,11.525,6.966,15.369000000000002,9.013,4.859,4.365,2.186,19.559,3.409,21.807,2.552,3.1630000000000003,17.037,14.104,2.881,2.836,8.293,4.791,3.725,2.356,7.217,5.91,2.289,5.517,3.5780000000000003
2014-01-06,8.182,2.439,6.041,5.9110000000000005,4.581,4.136,11.937,9.475,4.822,3.0,11.507,8.359,14.785,22.457,8.517000000000001,95.417,14.432,36.996,2.077,10.62,11.449000000000002,17.811,11.334,6.747999999999998,14.839,8.948,4.799,4.162,2.169,19.559,3.373,21.501,2.445,3.154,16.566,14.308,2.834,2.704,8.438,4.606,3.63,2.32,7.338999999999999,5.91,2.262,5.198,3.5210000000000004
2014-01-07,8.138,2.38,6.018,5.847,4.945,4.062,11.751,9.529,4.7780000000000005,3.01,11.595999999999998,8.523,14.529000000000002,22.597,8.513,95.283,14.375,40.092,2.068,10.493,11.626,17.94,11.306,6.5939999999999985,14.819,8.911,4.792,4.114,2.16,19.462,3.391,21.451,2.425,3.154,16.47,14.269,2.844,2.695,8.331,4.538,3.659,2.32,7.311,5.91,2.253,5.148,3.512
2014-01-08,8.191,2.295,6.149,5.863,4.706,4.052,11.791,9.629,4.734,2.971,11.825,9.204,14.358,22.867,8.41,94.366,14.403,42.59,2.077,10.542,12.094,18.178,11.382,6.603,14.559,8.976,4.799,4.066,2.151,19.724,3.418,21.669,2.376,3.172,16.537,14.220999999999998,2.815,2.676,8.36,4.441,3.64,2.32,7.217,5.91,2.244,5.138,3.5210000000000004
2014-01-09,8.271,2.23,6.149,5.847,4.82,4.062,11.537,9.692,4.829,2.942,11.525,9.433,14.135,21.987,8.137,94.319,14.365,41.595,2.068,10.249,11.632,17.851,11.144,6.567,14.439,9.013,4.792,4.0939999999999985,2.142,19.404,3.409,21.422,2.376,3.136,16.374000000000002,13.853,2.815,2.666,8.235,4.489,3.612,2.302,7.169,5.91,2.235,5.127999999999999,3.502
2014-01-10,8.378,2.146,6.2639999999999985,5.871,4.782,4.08,11.244000000000002,9.783,4.829,2.922,11.525,9.578,14.128,20.878,7.9620000000000015,94.263,14.508,40.122,2.059,9.937,12.097,17.275,10.706,6.558,14.489,9.032,4.772,3.979,2.142,19.21,3.418,21.441,2.318,3.136,16.383,13.843,2.787,2.638,8.187,4.402,3.612,2.284,7.113,5.91,2.226,4.948,3.4930000000000003
2014-01-13,8.36,2.156,6.295,5.839,4.715,4.136,11.146,9.855,4.74,2.932,11.481,9.075,14.253,21.068,7.883999999999999,94.754,14.585,40.022,2.068,9.908,11.924,17.275,10.573,6.495,14.559,9.004,4.779,4.008,2.142,19.151,3.4360000000000004,21.333,2.318,3.145,16.345,13.717,2.759,2.629,8.196,4.392,3.621,2.302,7.1320000000000014,6.01,2.253,5.008,3.54
2014-01-14,8.369,2.17,6.3020000000000005,5.863,4.763,4.237,11.302,9.738,4.7780000000000005,2.9610000000000003,11.569,8.971,14.24,21.807,7.864,95.876,14.67,41.525,2.077,10.034,12.014,17.642,10.773,6.395,14.629,9.041,4.779,4.027,2.142,19.413,3.409,21.669,2.337,3.127,16.547,13.785,2.769,2.685,8.322,4.4510000000000005,3.64,2.311,7.198,5.73,2.244,4.978,3.512
