0,600795-601985,601288-601988,603296-002252,601633-603296,601669-603296,600026-603296,600132-603296,601618-601669,601328-603296,603296-000157,Total
2017-06-01,,,,,,,,,,,
2017-06-02,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0
2017-06-05,1910.000000000001,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,1992.1727803693063
2017-06-06,1980.000000000001,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,1998.260617859846
2017-06-07,1980.000000000001,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,1998.260617859846
2017-06-08,1980.000000000001,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,1998.260617859846
2017-06-09,2130.000000000001,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2011.3059839110022
2017-06-12,2160.000000000001,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2013.9150571212335
2017-06-13,2170.000000000001,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2014.7847481913107
2017-06-14,2110.000000000001,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2009.566601770848
2017-06-15,2040.000000000001,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2003.4787642803083
2017-06-16,1970.000000000001,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,1997.3909267897689
2017-06-19,2110.000000000001,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2009.566601770848
2017-06-20,2030.000000000001,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2002.6090732102314
2017-06-21,2070.000000000001,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2006.0878374905399
2017-06-22,2100.000000000001,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2008.696910700771
2017-06-23,2110.000000000001,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2009.566601770848
2017-06-26,2100.000000000001,2000.0,2000.0,2000.0,2000.0,2000.0,-539.2104157916765,2000.0,2000.0,2000.0,2003.4645299091078
2017-06-27,2070.000000000001,2000.0,2000.0,-107.89473684209224,2000.0,2000.0,-274.069718605635,2000.0,2000.0,2000.0,1990.9591364971618
2017-06-28,1980.000000000001,2000.0,2000.0,3196.84210526316,2000.0,2000.0,1556.7870642587077,2000.0,2000.0,2000.0,2003.2765694634206
2017-06-29,2010.000000000001,2000.0,2000.0,2995.2631578947476,2000.0,2000.0,151.64636707266618,2000.0,2000.0,2000.0,2001.9915252663648
2017-06-30,2030.000000000001,2000.0,2000.0,2853.1578947368544,2000.0,2000.0,3070.7097858042835,2000.0,2000.0,2000.0,2009.042025077905
2017-07-03,2020.000000000001,2000.0,2000.0,1026.3157894736942,2000.0,2000.0,-48.0722385552217,2000.0,2000.0,2000.0,1992.6953480065424
2017-07-04,2297.7222222222226,2000.0,2000.0,596.8421052631602,2000.0,2000.0,-408.714825703486,2000.0,2000.0,2000.0,2013.9778029232084
2017-07-05,2317.7222222222226,2000.0,2000.0,986.8421052631602,2000.0,2000.0,-1589.8530029399408,2000.0,2000.0,2000.0,2015.2153837132105
2017-07-06,2297.7222222222226,2000.0,2000.0,-560.0,2000.0,2000.0,-1938.1394372112554,2000.0,2000.0,2000.0,2005.0951324567552
2017-07-07,2337.7222222222226,2000.0,2000.0,-2672.105263157893,2000.0,2000.0,-1671.070978580421,2000.0,2000.0,2000.0,1998.6606896625642
2017-07-10,2397.7222222222226,2000.0,2000.0,-917.3684210526262,2000.0,2000.0,-3112.423351532969,2000.0,2000.0,2000.0,2009.6018434357754
2017-07-11,2347.7222222222226,2000.0,2000.0,-1248.9473684210534,2000.0,2000.0,-3033.2801343973115,2000.0,2000.0,2000.0,2003.773804781266
2017-07-12,2247.7222222222226,2000.0,2000.0,880.5263157894806,2000.0,2000.0,-4261.63376732466,2000.0,2000.0,2000.0,2003.0952897335585
2017-07-13,2317.7222222222226,1814.6518105849582,2000.0,1186.8421052631747,2000.0,2000.0,-3668.849223015539,2000.0,2000.0,2000.0,1966.0827062938156
2017-07-14,2357.7222222222226,1965.5431754874653,2000.0,1270.5263157894806,2000.0,2000.0,-4083.1331373372523,2000.0,2000.0,2000.0,2006.4401064937558
2017-07-17,2327.7222222222226,1970.4456824512536,2000.0,2133.6842105263204,2000.0,2000.0,-489.07601847963815,2000.0,2000.0,2000.0,2016.7256837782434
2017-07-18,2477.7222222222226,1969.1086350974929,2000.0,5786.84210526316,2000.0,2000.0,-1434.1369172616542,2000.0,2000.0,2000.0,2045.590988104242
2017-07-19,2477.7222222222226,1958.6629526462398,2000.0,4762.105263157893,634.9397590361623,2000.0,-1735.9974800503987,2000.0,2000.0,2000.0,2033.592330299822
2017-07-20,2527.7222222222226,1960.0,2000.0,5524.210526315801,1525.3012048192904,2000.0,-2843.7757244855165,2000.0,2000.0,2000.0,2042.1884372825768
2017-07-21,2457.7222222222226,1980.4456824512536,2000.0,2030.5263157894806,1380.0,2000.0,-2628.206635867289,2000.0,2000.0,2000.0,2023.8977405193314
2017-07-24,2417.7222222222226,1970.8913649025067,2000.0,2375.7894736842136,3414.2168674698914,2000.0,-2725.489290214202,2000.0,2000.0,2000.0,2025.1045762999054
2017-07-25,2437.7222222222226,2004.4568245125347,2000.0,2692.105263157893,3963.9759036144533,2000.0,-914.1369172616542,2000.0,2000.0,2000.0,2041.9416172354888
2017-07-26,2447.7222222222226,2006.6852367688025,2000.0,1396.8421052631602,1989.759036144591,2000.0,-1089.2104157916765,2000.0,2000.0,2000.0,2031.209659303667
2017-07-27,2337.7222222222226,2015.7938718662954,2000.0,5793.68421052632,-67225.90361445783,2000.0,3179.504409911795,2000.0,2000.0,2000.0,1866.0218729072355
2017-07-28,2337.7222222222226,2005.7938718662954,2000.0,-67902.63157894736,-66886.14457831324,2000.0,3271.5791684166325,2000.0,2000.0,2000.0,1499.5661097073125
2017-07-31,2277.7222222222226,1955.3481894150418,2000.0,-67105.26315789473,-66886.14457831324,2000.0,3062.5829483410344,2000.0,2000.0,2000.0,1485.3915356063385
